"name","address","www","email","phone","rector","sun","week","url"
"Parafia św. Jana Chrzciciela","Legnica 2, ul. Ojców Zbigniewa i Michała 1, 59-220 Legnica","www.jacek.legnica.opoka.org.pl","","76/7244188","JANUS Jan","6:00, 7:00, 8:30, 10:00, 11:30, 13:00, 16:00 (oprócz lipca i sierpnia) 18:30, 20:00 (w lipcu i sierpniu)","7:00, 8:00, 9:00, 18:30 oraz o 17:00 (w pierwsze piątki roku szkolnego)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100415"
"Parafia św. Józefa - Opiekuna Zbawiciela","59-220 Legnica, ul. ks. Bronisława Gładysza 24","www.legnica.franciszkanie.pl/","legnica@franciszkanie.pl","76/8501110","PAZGAN Jan","8:30, 10:00, 11:30","17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100416"
"Parafia św. Ap. Piotra i Pawła (Katedra)","59-220 Legnica, ul. św. Piotra 2a","ikona.org/wp/","jpazgan@tlen.pl","76/7244281","KRISTMAN Robert","","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100417"
"Parafia Świętej Rodziny","59-220 Legnica, ul. Słubicka 6/8","www.katedra.legnica.pl","katedra@diecezja.legnica.pl","76/8621980","KRYŁOWSKI Bronisław","8:00, 10:00, 11:30, 18:00","9:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100418"
"Parafia Podwyższenia Krzyża Św.  i  św. Jadwigi Śląskiej","59-241 Legnickie Pole, ul. św. Jadwigi 1","","","76/8582185","GUCWA Włodzimierz","7:30,10:00, 12:30","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100407"
"Parafia św. Bartłomieja Apostoła","58-425 Leszczyniec  104","www.bazylikamniejsza.pl/","","75/7424470","BARCZEWSKI Czesław","8:00, 10:00, 12:00,","18:00, (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100396"
"Parafia św. Jana Chrzciciela","59-820 Leśna, ul. Sienkiewicza 44","","","75/7211287","DĄBSKI Jan","7:00; 18:00","7:00; 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100426"
"Parafia św. Apostołów Piotra i Pawła","Lipa Jaworska   74, 59-420 Bolków","www.parafialesna.diecezja.legnica.pl","parafialesna@o2.pl","75/7414028","OPALA Paweł","12:00","7:15 (sobota) 17:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100551"
"Parafia Najświętszego Serca Pana Jezusa i Św. Jakuba","59-800 Lubań, pl. ks. J. Winiarskiego 1","","","75/6464879","JACKOWIAK Mieczysław","7:30, 9:30, 11:00, 12:30, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100433"
"Parafia Świętej Trójcy","59-800 Lubań, ul. Szymanowskiego 1","sercejezusaluban.pl","mieczyslawjackowiak@o2.pl","75/7223103","LOMBARSKI Jan","","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100435"
"Parafia św. Jadwigi Śląskiej","59-800 Lubań, ul. Papieża Jana Pawła II 3","www.trojca-luban.pl","poczta@trojca-luban.pl","75/7217735","FILA Andrzej","7:30 (w II niedziele miesiąca: 13:00)","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100443"
"Parafia św. Maksymiliana M. Kolbe","59-800 Lubań, ul. Skalnicza 4","","","75/7224769","BARSKI Janusz","8:30, 11:30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100434"
"Parafia Narodzenia NMP","59-800 Lubań, ul. Różana 21","swmaksymilian.luban.pl/","","75/7222430","KURZAWA Marek","8:30, 10:00, 12:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100432"
"Parafia Wniebowzięcia NMP","58-420 Lubawka, pl. Jana Pawła II 8","","kurzus_m@wp.pl","75/7411652","CZEKAŃSKI Józef","8:00, 9:30, 11:00, 12:30, 18:00 (porządek zimowy: 8:00, 9:30, 11:00, 12:30, 17:00)","7:00, 18:00 (porządek zimowy: 7:00, 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100397"
"Parafia Matki Bożej Częstochowskiej","59-300 Lubin, ul. B. Chrobrego 7","www.parafia.lubawka.glt.pl/","lubawka-parafia@o2.pl","76/8444140","BUJAK Paweł","7:00, 8:30, 10:00, 11:30, 13:00, 18:00","6:00, 7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100444"
"Parafia Najświętszego Serca Pana Jezusa","59-300 Lubin, ul. B. Prusa 4","mbcz.lubin.pl","lubinmbcz@salezjanie.pl","76/8441460","GRAF Ludwik","7:00, 8:30, 10:00, 11:30, 13:00, 16:30, 19:00","6:30, 7:00, 7:00, (czwartek, piątek) 12:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100445"
"Parafia św. Jana Sarkandra","59-300 Lubin, ul. Szpakowa 4","","lubinnspj@salezjanie.pl","76/8423111","DRWIŁA Andrzej","8:00, 10:00, 12:00, 20:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100446"
"Parafia św. Maksymiliana M. Kolbe","59-300 Lubin, ul. Orla 32","","","76/8445404","MIGDAŁ Wiesław","7:00 ; 9:00, 11:00, 12:30, 14:00, 16:00, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100447"
"Parafia św. Barbary","59-335 Lubin, ul. Plac św. Barbary 1","www.mmkolbe.lubin.pl","parafia@mmkolbe.lubin.pl","76/8425914","ĆWIKLIŃSKI Waldemar Janusz","8:00, 10:00, 12:00, 18:00 (porządek zimowy: 8:00, 10:00, 12:00, 15:00, 18:00)","7:00 (wtorek, sobota) 18:00 (porządek zimowy: poniedziałek 7:00, wtorek, sobota 18:00, środa, czwartek, piatek, 7:00, 18:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100456"
"Parafia Narodzenia NMP","Lubin, ul. Budowniczych LGOM 18, 59-335 Lubin 7","www.sw.barbary.lubin.pl/","parafia@sw.barbary.lubin.pl","76/7492201","KRZYŻANOWSKI Krzysztof","9:00","17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100566"
"Parafia św. Jana Bosko","59-300 Lubin, ul. Jana Pawła II 58","","","76/8447865","GORCZAKOWSKI Stanisław","","6:30, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100567"
"Parafia Wniebowzięcia NMP i św. Maternusa","59-623 Lubomierz, pl. Kościelny 1","lubin-bosko.salezjanie.pl/","","75/7833547","JAWORSKI Erwin","8:00, 12:30, 18:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100473"
"Parafia Wniebowzięcia NMP","59-600 Lwówek Śląski, ul. Kościelna 27","www.lubomierz.legnica.opoka.org.pl/","parlubomierz@o2.pl","75/7823031","KIEŁBOWICZ Krzysztof","7:00, 8:30, 10:00, 11:30, 15:00 (od 1. Niedzieli września do ostatniej Niedzieli czerwca(Msza Św. Niedzielna w ciągu roku szkolnego)), 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100474"
"Parafia św. Franciszka z Asyżu","59-600 Lwówek Śląski, ul. Szkolna 1","parafia.lwowek.pl/","","75/7825684","SZPYT Jan","7:00, 8:30, 10:00, 11:30, 18:30","7:00, 8:00, 17:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100480"
"Parafia św. Antoniego Padewskiego","Łagów, ul. Szkolna  1, 59-900 Zgorzelec","","","75/7715924","POLONIS Stanisław","","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=101127"
"Parafia Niepokalanego Serca Najświętszej Maryi Panny","Ławszowa  38, 59-724 Osiecznica","","","75/7321185","DOMIŃSKI Zbigniew","9:00, 10:00","18:00 (porządek zimowy 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100290"
"Parafia Niepokalanego Poczęcia Najświętszej Maryi Panny","58-508 Łomnica, ul. Świerczewskiego 73","","","75/7131615","WITCZAK Mariusz","8:00, 10:30, 11:45","(poniedziałek 8:00), (pozostałe dni 18:00) ( porządek zimowy: 8:00, 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100485"
"Parafia Narodzenia NMP","Małuszów  14, 59-424 Męcinka","www.parafia-lomnica.pl/","","76/8738495","BRYJA Jan","8:30, 12:00","19.00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100411"
"Parafia Niepokalanego Serca  Najświętszej Maryi Panny","58-410 Marciszów, ul. Sołecka 5","","","75/7410375","JAGIELSKI Zbigniew","10:00 (w święta: 16:00)","17:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100391"
"Parafia św. Andrzeja Apostoła","59-424 Męcinka  27","","","76/8708628","KLUWAK Marek","9:00","18:30 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100352"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","Mierczyce  15, 59-430 Wądroże Wielkie","","","76/8874783","WĄTRUCH Mirosław","10:30","16:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100353"
"Parafia Niepokalanego Poczęcia Najświętszej Maryi Panny","59-222 Miłkowice, ul. Słoneczna 2","","","76/8871426","BERNASIEWICZ Remigiusz","9:30, 11:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100309"
"Parafia św. Jadwigi","58-535 Miłków, ul. Wiejska 79","","","75/7610325","KULESZA Zbigniew","9:00, 11:00, 18:00 (porządek zimowy: 9:00, 11:00, 17:00)","19:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100486"
"Parafia Świętej Trójcy","59-323 Miłoradzice  42","","","76/8448527","ANTOSIK Krzysztof","9:00","(piątek, sobota) 17:00 (18:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100448"
"Parafia Zwiastowania NMP","59-630 Mirsk, ul. Kościelna 12","","miloradzice@tlen.pl","75/7834570","RADZIWOŁEK Zbigniew","7:45, 9:00, 11:00, 13:00, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100317"
"Parafia Wszystkich Świętych","58-422 Miszkowice  13","","","75/7426677","FLORCZUK Wiesław","8:00, 10:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100398"
"Parafia Matki Boskiej Nieustającej Pomocy","Mleczno  6, 59-305 Rudna","www.parafiamiszkowice.alias.pl/","","76/8434233","JASTRZĘBSKI Jerzy","","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100568"
"Parafia Matki Boskiej Częstochowskiej","Modlikowice  38, 59-516 Zagrodno","parafiamleczno.pl/","","76/8773381","STELMACH Tadeusz","12:00","17:00 (porządek zimowy: 19:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100310"
"Parafia Nawiedzenia NMP","59-407 Mściwojów  41","","","76/8728547","JUCHIEWICZ Wiktor","12:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100354"
"Parafia Najświętszego Serca Pana Jezusa","58-533 Mysłakowice, ul. 1 Maja 15","","xwiktor@poczta.onet.pl","75/7131700","BĘTKOWSKI Mieczysław","8:30","7:00, 18:00 (porządek zimowy: 7:00, 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100487"
"Parafia św. Antoniego","Niedźwiedzice  14, 59-225 Chojnów","myslakowice.diecezja.legnica.pl","","76/8186820","MIANOWSKI Piotr","8:00, 10:30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100311"
"Parafia Matki Boskiej Anielskiej","Nowa Wieś Grodziska  81, 59-524 Pielgrzymka","","","76/8775276","SZCZEPANIAK Tadeusz","17:30, 11:00 (porządek zimowy: 8:00, 12:00)","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100594"
"Parafia św. Piotra i Pawła","59-730 Nowogrodziec, ul. Kościelna 1","","","75/7316246","SŁABICKI Krzysztof","7:00, 10:30, 12:00,17:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100505"
"Parafia Matki Boskiej Różańcowej","58-540 Nowy Kościół, ul. Jeleniogórska 56a","","parafia.nowogrodziec@neostrada.pl","75/7135617","HICZKIEWICZ Hieronim","8:15, 11:00, 18:00 (porządek zimowy: 8:15, 11:00, 16:00)","18:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100555"
"Parafia Narodzenia Najświętszej Maryi Panny","Ocice  71, 59-730 Nowogrodziec","","","75/7361127","KULICKI Andrzej","8:00 (porządek zimowy: 9:00)","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100506"
"Parafia Matki Boskiej Różańcowej","Okmiany  63, 59-225 Chojnów","","","76/8188955","TERLECKI Adam","","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100312"
"Parafia Najświętszego Serca Pana Jezusa","59-517 Olszanica  86a","www.parafiaokmiany.pl","mbrokmiany@gmail.com","76/8773334","PITA Ryszard","8:00, 12:00","18:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100595"
"Parafia św. Michała Archanioła","Olszany  31, 59-305 Rudna","","","76/8439356","WOJTASZEK Józef","18:00, 12:00","17:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100383"
"Parafia św. Józefa Oblubieńca","59-830 Olszyna, ul. Legnicka 14","","","75/7212346","DOCHNIAK Jan","7:00, 9:15, 11:00, 12:30, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100436"
"Parafia Narodzenia Narodzenia Najświętszej Maryi Panny","59-922 Opolno Zdrój, ul. Parkowa 10","www.parafiaolszyna.pl","parafia.olszyna@interia.pl","75/7738319","RYDZY Marek","9:00, 12:00","17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100283"
"Parafia św. Maksymiliana M. Kolbe","59-724 Osiecznica, ul. Klonowa 4","","","75/7312150","KAPROŃ Artur","8:00, 11:30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100291"
"Parafia Chrystusa Króla","Osiek, ul. Św. Katarzyny  73 A, 59-300 Lubin","","","76/8428344","SKOWRON Wojciech","","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100449"
"Parafia Narodzenia Najświętszej Maryi Panny","Osiek Łużycki  58, 59-900 Zgorzelec","parafiaosiek.pl/","chrystus.krol.osiek@wp.pl","75/7718133","SAŁAGA Piotr","8:00, 12:00","18:00 (porządek zimowy: 17:30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100586"
"Parafia św. Piotra i Pawła","Osła  45, 59-706 Gromadka","","","75/7382331","TRZNADEL Jan","11:30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100269"
"Parafia św. Antoniego Padewskiego","Parowa  106, 59-724 Osiecznica","","","75/7321886","RYCHEL Edward","8:00, 10:00","18:00,19:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100579"
"Parafia Świętej Trójcy","59-411 Paszowice  115","","","76/8701779","JEŻ Bogusław","8:30, 11:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100355"
"Parafia św. Antoniego Padewskiego","58-573 Piechowice, ul. Żymierskiego 40","","","75/7612269","SOROKA Ryszard","7:30, 9:00, 11:00, 12:00, 18:00","18:00 (w I piątek miesiąca: 8:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100546"
"Parafia św. Jana Nepomucena","59-524 Pielgrzymka  112","","","76/8775037","WRÓBEL Franciszek","9:30 (porządek zimowy: 10:30)","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100596"
"Parafia św. Franciszka z Asyżu","59-930 Pieńsk, ul. Świerczewskiego 37","","","75/7786534","KUSTROŃ Marek","7:00, 8:30, 10:00, 11:00, 12:30, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100580"
"Parafia Wniebowzięcia NMP","Pisarzowice  83, 58-400 Kamienna Góra","","","75/7428889","SIKORA Krzysztof","8:00, 11:00","18:00 (porządek zimowy: 16:30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100399"
"Parafia Macierzyństwa Najświętszej Maryi Panny","Pisarzowice, dek. Lubań  120, 59-800 Lubań","www.parafiapisarzowice.strefa.pl","parafia.pisarzowice@poczta.fm","75/7223079","GĘBAROWSKI Kazimierz","9:00, 11:00","17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100437"
"Parafia Niepokalanego Serca  Najświętszej Maryi Panny","59-816 Platerówka  219","","","75/7241303","MUCHA Franciszek","9:20, 11:45","18:00 (porządek zimowy: 17:00) (sobota) 16:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100427"
"Parafia św. Tekli","59-622 Pławna  89","","","75/7833092","BOCHENEK Krzysztof","8:00; 11:30","18:00 (porządek zimowy: 15:30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100475"
"Parafia Świętej Trójcy","58-562 Podgórzyn, ul. Kościelna 2","","","75/7621041","TOKARZ Jacek","","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100488"
"Parafia św. Jacka","Pogorzeliska  21, 59-140 Chocianów","","","76/8171232","PRYPUTNIEWICZ Jan","11:30, 18:00 (porządek zimowy: 11:30, 17:00)","18:00 (porządek zimowy: 16:30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100297"
"Parafia Matki Bożej Królowej Polski","59-101 Polkowice, ul. kard. Bolesława Kominka 1a","","","76/7244400","PLUSKOTA Marek","7:30, 9:00, 11:00, 19:00","9:00, 19:00 (porządek zimowy: 9:00, 18:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100521"
"Parafia św. Michała Archanioła","59-100 Polkowice, pl. Kościelny 2","www.mbkp.polkowice.pl","parafia@polkombkp.lh.pl","76/8451437","ŚWIĘCICKI Jarosław","7:00, 10:30, 12:00, 13:00","7:00, 9:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100522"
"Parafia Matki Boskiej Łaskawej","Polkowice, ul. Wojska Polskiego 7, 59-100 Polkowice 1","www.michalpolkowice.pl","parafia-michal@tabs.pl","76/7495167","WÓJS Ireneusz","10:00, 12:00, 18:00 (porzadek zimowy: 10:30, 12:00, 17:00)","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100526"
"Parafia św. Marcina","Pomocne  41, 59-424 Męcinka","mbl.polkowice.pl","p.m.b.l@wp.pl","76/8708928","LACH Marek","11:00","18:00 (porządek zimowy: 16:30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100556"
"Parafia Najświętszego Serca Pana Jezusa","Porajów, pl. Papieża Jana Pawła II  1, 59-921 Sieniawka","","","75/7738216","KORAB Zbigniew","8:00, 12:30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100284"
"Parafia św. Jana Chrzciciela","59-230 Prochowice, ul. Legnicka 44","www.zspigp.neostrada.pl/parafia.htm","","76/8584456","DĄBSKI Tadeusz","7:00, 9:00, 11:00, 18:00 (porządek zimowy: 7:00, 9:00, 11:00, 17:00)","7:00, 18:00 (porządek zimowy: 7:00, 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100572"
"Parafia św. Jadwigi","Prusice  19 A, 59-500  Złotoryja","prochowice.diecezjalegnica.pl/","","76/8783920","BIAŁEK Kazimierz","9:00, 12:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100597"
"Parafia św. Michała Archanioła","59-720 Raciborowice  188","","par.prusice@op.pl","75/8189303","KRYŁOWSKI Andrzej","9:00, 12:00","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100270"
"Parafia Matki Bożej Królowej Polski","Radogoszcz  68, 59-800 Lubań ","","","75/7223762","LEŚNIK Jan","10:00","(czwartek, sobota) 18:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100438"
"Parafia Matki Bożej Różańcowej","Radomierz  66, 58-520 Janowice Wielkie","","","75/7515477","JACYSZYN Eugeniusz","8:30, 12:00","17:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100364"
"Parafia Objawienia Pańskiego","Radostów Średni  71, 59-800 Lubań","","","75/7221989","OLECHOWSKI Józef","8:00","17:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100439"
"Parafia św. Marii Magdaleny","Radzimów  7, 59-975 Sulików","","","75/7776136","WOJCIECHOWSKI Andrzej","8:00, 10:30, 12:00","7.00, 18.00 (porządek zimowy: 7:00, 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100428"
"Parafia Niepokalanego Serca  Najświętszej Maryi Panny","59-307 Raszówka, ul. 1 Maja 8a","","","76/8448165","CERKOWNIAK Marek","10:00","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100450"
"Parafia św. Barbary","59-624 Rębiszów  118","","","75/7839159","PACYNIAK Zbigniew","9:00, 13:00 w Domu Pomocy Społecznej 16:00","7:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100318"
"Parafia Matki Bożej Częstochowskiej","Rokitki  73a, 59-225 Chojnów","","","76/8178803","KUTKIEWICZ Piotr","10:00","19:00 (porządek zimowy: 18:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100298"
"Parafia Wniebowzięcia NMP","Rosochata  30, 59-216 Kunice ","www.rokitki.info","","76/8575027","JUŹKÓW Józef","10:30","8:30, 17:20 (porządek zimowy: 10:30, 16:10)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100573"
"Parafia Trójcy Świętej","59-305 Rudna, pl. Kościelny 3","","","76/8434127","JANICKI Władysław","8:00, 9:30, 11:00","18:00 (porządek zimowy: 16:30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100523"
"Parafia św. Katarzyny Aleksandryjskiej","Rudzica  133, 59-818 Siekierczyn","","","75/7210853","PRAJS Piotr","9:30","19:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100440"
"Parafia św. Łukasza Ewangelisty","59-243 Ruja  59","","","76/8580391","WOJCIECHOWICZ Jan","10:30","(środa) 16:30","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100574"
"Parafia Zmartwychwstania Pańskiego","59-950 Ruszów, ul. Dworcowa 4","","","75/7714352","PŁAWECKI Antoni","8:00, 9:30,11:30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100581"
"Parafia św. Katarzyny Aleksandryjskiej","Rybnica  28, 58-512 Stara Kamienica","","","75/7514576","SZUMSKI Artur","8:00, 11:00","18:00 (porządek zimowy: 16:30)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100373"
"Parafia Matki Boskiej Ostrobramskiej","Rząsiny  99, 59-620 Gryfów Śląski","","","75/7844086","ŻMIGRODZKI Krzysztof","8:30, 10:00","7:30","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100320"
"Parafia Świętego Krzyża","Rzeszotary, ul. Legnicka 25, 59-222 Miłkowice","parafia.rzasiny.pl","parafia@rzasiny.pl","76/8621728","KAWZOWICZ Stanisław","9:30","18.00 (porządek zimowy: 17.00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100419"
"Parafia św. Michała Archanioła","Siedlce, ul. Czerniec 22, 59-300 Lubin - Niemstów","","","76/8418844","ŻUREK Tadeusz","12:30","(wtorek, sobota) 18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100559"
"Parafia św. Mikołaja","Siedlęcin, ul. Długa 24, 58-508 Jelenia Góra 14","","parafia.siedlce@interia.pl","75/7137323","PYTEL Dariusz","8:00, 12:00","18:00, (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100368"
"Parafia św. Antoniego Padewskiego","59-818 Siekierczyn  208","","","75/7221780","KASZOWICZ Stanisław","8:00, 11:00, 12:30 (w wakacje: 8:00, 12:00)","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100441"
"Parafia Wniebowzięcia NMP","Słup  58, 59-424 Męcinka","","farasiekierczyn@interia.pl","76/8708637","DYL Zbigniew","8:00, 12:15","18:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100356"
"Parafia Wniebowstąpienia Pańskiego","Snowidza  85a, 59-407 Mściwojów","parafiaslup.pl","parafia@parafiaslup.pl","76/8718390","PUDEŁKO Dariusz","8:00, 12:00","8:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100357"
"Parafia św. Michała Archanioła","Sobin, ul. Turkusowa 7, 59-100 Polkowice","","","76/8459680","SZYMAŃSKI Mariusz","10:00","18:00 (porzadek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100524"
"Parafia św. Piotra i Pawła Ap.","Sobota  10a, 59-600 Lwówek ŚLąski","parafiasobin.eu","sobin@diecezja.legnica.pl","75/7842092","PAJOR Zbigniew","10:00","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100476"
"Parafia św. Jadwigi","Sokołowiec  96, 59-540 Świerzawa","michalici.pl","sobotamichalici@wp.pl","75/7135724","STĘPIEŃ Mieczysław","8:30, 12:00","(sobota) 16:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100557"
"Parafia Najświętszego Serca Pana Jezusa i Matki Bożej Ostrobramskiej","58-564 Sosnówka, ul. Szkolna 2","parafia.sokolowiec.pl","parafia@sokolowiec.pl","75/7610625","KOCIOŁA Robert","12:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100489"
"Parafia Ścięcia św. Jana Chrzciciela","58-512 Stara Kamienica  150","","","75/7514348","NICKO Jan","8:00, 12:00","7:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100547"
"Parafia Matki Boskiej Szkaplerznej","Stary Węgliniec, ul. M. Konopnickiej 16, 59-940 Węgliniec","","","75/7712652","ŻĄDŁO Krzysztof","10:00","(poniedziałek, czwartek) 7:00, (piątek) 18:00, (sobota) 18:00 (porządek zimowy: 7:00, 17:00, 18:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100582"
"Parafia Podwyższenia Krzyża Świętego","59-975 Sulików, ul. Dworcowa 7","","","75/7787257","KANKIEWICZ Janusz","10:00","18.00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100429"
"Parafia św. Jacka","Tomaszów Bolesławiecki  95, 59-720 Raciborowice Górne","parafia.sulikow.pl","parafia.sulikow@op.pl","","ŁUCZYŃSKI Andrzej","9:30","","http://www.diecezja.legnica.pl/teksty/parafie.php?n=101211"
"Parafia Bożego Ciała","58-580 Szklarska Poręba, ul. ks. kard. Wyszyńskiego 2","","","75/7172282","MIKOŁAJCZAK Zygmunt","7:00, 10:00, 11:30, 15:00, 19:00 (porządek zimow: 7:00, 10:00, 11:30, 15:00, 19:00)","10:00, 19:00 (porządek zimowy: 10:00, 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100548"
