"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url","about"
"Kościół parafialny pw MB Nieust. Pomocy","","Goleniów","ul. Sikorskiego 1a, 72-101 GOLENIÓW","","","91/418-49-35"," Janusz  Skałecki","8:00,, 12:00,","Pn. 18:00,; Wt. 18:00,; Śr. 18:00,; Cz. 18:00,; Pt. 18:00,; So. 10:00,; ","","53.54658,14.85364","http://szczecin.kuria.pl/wspolnoty/koscioly/Goleniow-Kosciol-parafialny-pw-MB-Nieust-Pomocy_249","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g18_38.jpg"
"Komarowo Kościół filialny","","Komarowo","ul. Borzysławiec 15, 72-105 LUBCZYNA","www.borzyslawiec.pl","kontakt@parafia.goleniow.net","91/419-16-94"," Adam  Staśkowiak","10:15,","Śr. 17:30, - zimą, 18:00, - latem; Pt. 17:30, - zimą, 18:00, - latem; ","","53.53596,14.74482","http://szczecin.kuria.pl/wspolnoty/koscioly/Komarowo-Kosciol-filialny-_241","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b10_k34.jpg"
"Kopice Kościół filialny","","Kopice","ul. Sikorskiego 19, 72-112 STEPNICA","www.stepnica.eparafia.pl","proboszcz@stepnica.eparafia.pl","91/418-84-25, kom. 501/18.60.24, fax. 91/418-84-25"," Piotr  Listwoń","10:30,","Cz. 18:00,; ","","53.69879,14.55092","http://szczecin.kuria.pl/wspolnoty/koscioly/Kopice-Kosciol-filialny-_263","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/108x75_wymuszony/DSC_0006.jpg"
"Kościół parafialny pw MB Królowej Polski","","Krępsko","ul. Szkolna 1, 72-100 GOLENIÓW","","","91/418-95-24"," Mariusz  Cywka","8:00,, 12:30,","18:00,","","53.59609,14.73962","http://szczecin.kuria.pl/wspolnoty/koscioly/Krepsko-Kosciol-parafialny-pw-MB-Krolowej-Polski_252","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k16_36.jpg"
"Maciejewo Kościół filialny pw św. Kazimierza","","Maciejewo","ul. Mosty 2, 72-132 MOSTY","","","91/461-20-13, kom. 694 451 905, fax. 91/461-20-13"," Artur  Minierski","10:00,","Wt. 17:00,; ","","53.55726,15.00662","http://szczecin.kuria.pl/wspolnoty/koscioly/Maciejewo-Kosciol-filialny-pw-sw-Kazimierza_258","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m13_m22.jpg"
"Marszewo Kościół filialny","","Marszewo","ul. Jana Pawła II nr 25, 72-100 GOLENIÓW","www.swkatarzyna.goleniow.pl","","91/407-19-00, kom. ks. prob. 601236270, fax. 91/407-19-00"," Rafał  Hoczek","12:00,","","","53.57205,14.89434","http://szczecin.kuria.pl/wspolnoty/koscioly/Marszewo-Kosciol-filialny-_245","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g06_m33.jpg"
"Miękowo Kościół filialny","","Miękowo","ul. Szkolna 1, 72-100 GOLENIÓW","","","91/418-95-24"," Mariusz  Cywka","11:00,","","","53.61412,14.82256","http://szczecin.kuria.pl/wspolnoty/koscioly/Miekowo-Kosciol-filialny-_255","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k16_m43.jpg"
"Kościół parafialny pw MB Gromnicznej","","Mosty","ul. Mosty 2, 72-132 MOSTY","","","91/461-20-13, kom. 694 451 905, fax. 91/461-20-13"," Artur  Minierski","8:00,, 12:00,","Pn. 7:00,; Śr. 17:00,; Pt. 17:00,; So. 17:00,; ","","53.54902,14.95695","http://szczecin.kuria.pl/wspolnoty/koscioly/Mosty-Kosciol-parafialny-pw-MB-Gromnicznej_256","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/256.jpg"
"Niewiadowo Kościół filialny","","Niewiadowo","ul. Jana Pawła II nr 25, 72-100 GOLENIÓW","www.swkatarzyna.goleniow.pl","","91/407-19-00, kom. ks. prob. 601236270, fax. 91/407-19-00"," Rafał  Hoczek","","So. 17:00,; ","","53.65609,14.89854","http://szczecin.kuria.pl/wspolnoty/koscioly/Niewiadowo-Kosciol-filialny-_244","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g06_n11.jpg"
"Podańsko Kościół filialny","","Podańsko","ul. Sikorskiego 1a, 72-101 GOLENIÓW","","","91/418-49-35"," Janusz  Skałecki","10:45,","Cz. 17:00,; ","","53.53386,14.88261","http://szczecin.kuria.pl/wspolnoty/koscioly/Podansko-Kosciol-filialny-_251","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g18_p34.jpg"
"Stawno Kościół filialny","","Stawno","ul. Sikorskiego 1a, 72-101 GOLENIÓW","","","91/418-49-35"," Janusz  Skałecki","09:30,","Wt. 17:00,; ","","53.49776,14.89910","http://szczecin.kuria.pl/wspolnoty/koscioly/Stawno-Kosciol-filialny-_250","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g18_s19.jpg"
"Kościół parafialny pw św. Jacka","","Stepnica","ul. Sikorskiego 19, 72-112 STEPNICA","www.stepnica.eparafia.pl","proboszcz@stepnica.eparafia.pl","91/418-84-25, kom. 501/18.60.24, fax. 91/418-84-25"," Piotr  Listwoń","9:30,, 11:30,, 15:30,, (w roku szkolnym), 18:00,, (17:00, zimą)","18:00, (17:00, zimą)","","53.65171,14.62568","http://szczecin.kuria.pl/wspolnoty/koscioly/Stepnica-Kosciol-parafialny-pw-sw-Jacka_261","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/DSC_0006.jpg"
"Święta Kościół filialny","","Święta","ul. Szkolna 1, 72-100 GOLENIÓW","","","91/418-95-24"," Mariusz  Cywka","14:00,","","","53.55745,14.63012","http://szczecin.kuria.pl/wspolnoty/koscioly/Swieta-Kosciol-filialny-_253","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k16_s12.jpg"
"Wierzchosław Kościół filialny","","Wierzchosław","ul. Sikorskiego 19, 72-112 STEPNICA","www.stepnica.eparafia.pl","proboszcz@stepnica.eparafia.pl","91/418-84-25, kom. 501/18.60.24, fax. 91/418-84-25"," Piotr  Listwoń","10:00,","Śr. 18:00,; Pt. 18.00,; ","","53.63949,14.77989","http://szczecin.kuria.pl/wspolnoty/koscioly/Wierzchoslaw-Kosciol-filialny-_262","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/s11_w36.jpg"
"Żółwia Błoć Kościół filialny","","Żółwia Błoć","ul. Szkolna 1, 72-100 GOLENIÓW","","","91/418-95-24"," Mariusz  Cywka","09:30,","","","53.59499,14.85933","http://szczecin.kuria.pl/wspolnoty/koscioly/Zolwia-Bloc-Kosciol-filialny-_254","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k16_z18.jpg"
"Barkowo Kościół filialny","","Barkowo","ul. Mechowo 34, 72-310 PŁOTY","","","91/385-15-37"," Krzysztof  Sebastianów","08:30,","Cz. 18:00,; ","","53.84704,15.24000","http://szczecin.kuria.pl/wspolnoty/koscioly/Barkowo-Kosciol-filialny-_285","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m04_bo07.jpg"
"Baszewice Kościół filialny","","Baszewice","ul. Mechowo 34, 72-310 PŁOTY","","","91/385-15-37"," Krzysztof  Sebastianów","09:45,","Wt. 18:00,; ","","53.86221,15.19766","http://szczecin.kuria.pl/wspolnoty/koscioly/Baszewice-Kosciol-filialny-_286","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m04_be16.jpg"
"Bielikowo Kościół filialny","","Bielikowo","ul. Parkowa 6, 72-304 BROJCE GRYF.","","","91/386-11-15"," Mirosław  Czerwiński","9:15,","Pn. 16:30,; ","","53.99053,15.31451","http://szczecin.kuria.pl/wspolnoty/koscioly/Bielikowo-Kosciol-filialny-_267","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b12_b15.jpg"
"Kościół parafialny pw Najśw. Serca Pana Jezusa","","Brojce","ul. Parkowa 6, 72-304 BROJCE GRYF.","","","91/386-11-15"," Mirosław  Czerwiński","8:00,, 13:00,","18:00,","","53.95533,15.36003","http://szczecin.kuria.pl/wspolnoty/koscioly/Brojce-Kosciol-parafialny-pw-Najsw-Serca-Pana-Jezusa_264","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b12_45.jpg"
"Dargosław Kościół filialny","","Dargosław","ul. Parkowa 6, 72-304 BROJCE GRYF.","","","91/386-11-15"," Mirosław  Czerwiński","10:30,","Śr. 16:30,; ","","53.99990,15.38155","http://szczecin.kuria.pl/wspolnoty/koscioly/Dargoslaw-Kosciol-filialny-_265","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b12_d18.jpg"
"Dąbie Kościół filialny","","Dąbie","ul. Wyszobór 14 A, 72-310 PŁOTY","www.parafiawyszobor.com","","91/386-52-85, kom. 603 74 22 94"," Ryszard  Raczkiewicz","10:00,","Wt. 16:00,; ","","53.84601,15.36164","http://szczecin.kuria.pl/wspolnoty/koscioly/Dabie-Kosciol-filialny-_296","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/20141216_123145.jpg"
"Kaplica","","DPS Gryfice","ul. Górska 8, 72-300 GRYFICE","nspj.gryfice.eu","nspjgryfice@gmail.com","91/384-28-80"," Ireneusz  Pastryk","","So. 15:00,, 16:00,; ","","53.91898,15.19574","http://szczecin.kuria.pl/wspolnoty/koscioly/DPS-Gryfice-Kaplica-_276","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/108x75_wymuszony/g11_23.jpg"
"Kościół parafialny pw Niep. Poczęcia NMP","","Górzyca","ul. Górzyca 29, 72-300 GRYFICE","","","91/384-18-90"," Bogumił  Stepek","13:00,","Pn. 17:00,; Wt. 09:00,; Śr. 17:00,; Pt. 17:00,; So. 18:00,; ","","53.97743,15.23776","http://szczecin.kuria.pl/wspolnoty/koscioly/Gorzyca-Kosciol-parafialny-pw-Niep-Poczecia-NMP_270","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g10_31.jpg"
"Kościół parafialny pw Najśw. Serca Pana Jezusa","","Gryfice","ul. Górska 8, 72-300 GRYFICE","nspj.gryfice.eu","nspjgryfice@gmail.com","91/384-28-80"," Ireneusz  Pastryk","8:30,, 10:00,, 11:15,,12:30,, 18:00,","9:00,, 18:00,","","53.91967,15.19618","http://szczecin.kuria.pl/wspolnoty/koscioly/Gryfice-Kosciol-parafialny-pw-Najsw-Serca-Pana-Jezusa_274","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g11_23.jpg"
"Kościół parafialny pw Wniebowzięcia NMP","","Gryfice","ul. 3 Maja 17, 72-300 Gryfice","www.gryficeparafiawnmp.pl","","91/384-24-13"," Kazimierz  Półtorak","7:30,, 8:30,, 10:00,, 11:30,, 13:00,, 18:00,","Pn. 6:30,, 18:00,; Wt. 6:30,, 18:00,; Śr. 6:30,, 9.00,, 18:00,; Cz. 6:30,, 18:00,; Pt. 6,30,, 18:00,; So. 6:30,, 18:00,; ","","53.91243,15.19586","http://szczecin.kuria.pl/wspolnoty/koscioly/Gryfice-Kosciol-parafialny-pw-Wniebowziecia-NMP_278","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g12_47.jpg"
"Kiełpino Kościół filialny","","Kiełpino","ul. Parkowa 6, 72-304 BROJCE GRYF.","","","91/386-11-15"," Mirosław  Czerwiński","11:45,","Cz. 16:30,; ","","53.93648,15.40804","http://szczecin.kuria.pl/wspolnoty/koscioly/Kielpino-Kosciol-filialny-_266","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b12_k14.jpg"
"Kłodkowo Kościół filialny","","Kłodkowo","ul. Górzyca 29, 72-300 GRYFICE","","","91/384-18-90"," Bogumił  Stepek","8:30,","","","54.01329,15.24414","http://szczecin.kuria.pl/wspolnoty/koscioly/Klodkowo-Kosciol-filialny-_271","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g10_k54.jpg"
"Łopianów Kościół filialny","","Łopianów","ul. 3 Maja 17, 72-300 Gryfice","www.gryficeparafiawnmp.pl","","91/384-24-13"," Kazimierz  Półtorak","13:00,","","","53.87450,15.26099","http://szczecin.kuria.pl/wspolnoty/koscioly/Lopianow-Kosciol-filialny-_281","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g12_l11.jpg"
"Kościół parafialny pw św. Andrzeja Boboli","","Mechowo k.Płot","ul. Mechowo 34, 72-310 PŁOTY","","","91/385-15-37"," Krzysztof  Sebastianów","12:15,","Pn. 18:00, (wg intencji); Śr. 18:00,; Pt. 18:00,; ","","53.82129,15.16897","http://szczecin.kuria.pl/wspolnoty/koscioly/Mechowo-kPlot-Kosciol-parafialny-pw-sw-Andrzeja-Boboli_284","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m04_31.jpg"
"Natolewice Kościół filialny pw NIEPOKALANEGO SERCA NMP","","Natolewice","ul. Wicimice 28, 72-310 PŁOTY","","rokomar@poczta.fm","91/386-51-60, kom. 506081522"," Marek  Rokosz","13:00,","Wt. 18:00,; ","","53.90665,15.36726","http://szczecin.kuria.pl/wspolnoty/koscioly/Natolewice-Kosciol-filialny-pw-NIEPOKALANEGO-SERCA-NMP_293","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w06_n22.jpg"
"Ościęcin Kościół filialny","","Ościęcin","ul. Świeszewo 18, 72-300 GRYFICE","","","91/384-14-57"," Mariusz  Szymczak","11:30,","Cz. 17:00,; ","","53.83196,15.07614","http://szczecin.kuria.pl/wspolnoty/koscioly/Osciecin-Kosciol-filialny-_291","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/s20_o03.jpg"
"Otok Kościół filialny","","Otok","ul. Górzyca 29, 72-300 GRYFICE","","","91/384-18-90"," Bogumił  Stepek","11:30,","","","53.98090,15.21045","http://szczecin.kuria.pl/wspolnoty/koscioly/Otok-Kosciol-filialny-_272","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g10_o31.jpg"
"Pniewo Kościół filialny pw MB RÓŻAŃCOWEJ","","Pniewo","ul. Wicimice 28, 72-310 PŁOTY","","rokomar@poczta.fm","91/386-51-60, kom. 506081522"," Marek  Rokosz","10:00,","Cz. 18:00,; ","","53.90393,15.42884","http://szczecin.kuria.pl/wspolnoty/koscioly/Pniewo-Kosciol-filialny-pw-MB-ROZANCOWEJ_294","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w06_p26.jpg"
"Prusinowo Kościół filialny","","Prusinowo","ul. Górzyca 29, 72-300 GRYFICE","","","91/384-18-90"," Bogumił  Stepek","10:00,","So. 16:30,; ","","53.95424,15.19139","http://szczecin.kuria.pl/wspolnoty/koscioly/Prusinowo-Kosciol-filialny-_273","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g10_p17.jpg"
"Pruszcz Kościół filialny","","Pruszcz","ul. Parkowa 6, 72-304 BROJCE GRYF.","","","91/386-11-15"," Mirosław  Czerwiński","14:00,","Wt. 16:30,; ","","53.96626,15.29971","http://szczecin.kuria.pl/wspolnoty/koscioly/Pruszcz-Kosciol-filialny-_268","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b12_p20.jpg"
"Przybiernowo Kościół filialny pw św. Floriana","","Przybiernowo","ul. 3 Maja 17, 72-300 Gryfice","www.gryficeparafiawnmp.pl","","91/384-24-13"," Kazimierz  Półtorak","10:00,","","","53.94118,15.29804","http://szczecin.kuria.pl/wspolnoty/koscioly/Przybiernowo-Kosciol-filialny-pw-sw-Floriana_279","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/IMG_5841.jpg"
"Przybiernówko Kościół filialny","","Przybiernówko","ul. Górska 8, 72-300 GRYFICE","nspj.gryfice.eu","nspjgryfice@gmail.com","91/384-28-80"," Ireneusz  Pastryk","10:00,","","","53.95404,15.13264","http://szczecin.kuria.pl/wspolnoty/koscioly/Przybiernowko-Kosciol-filialny-_275","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g11_p15.jpg"
"Kaplica","","Raduń","ul. 3 Maja 17, 72-300 Gryfice","www.gryficeparafiawnmp.pl","","91/384-24-13"," Kazimierz  Półtorak","9:00,","","","53.94949,15.26555","http://szczecin.kuria.pl/wspolnoty/koscioly/Radun-Kaplica-_283","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/IMG_5842.jpg"
"Rotnowo Kościół filialny pw Matki Bożej Częstochowskiej","","Rotnowo","ul. Wyszobór 14 A, 72-310 PŁOTY","www.parafiawyszobor.com","","91/386-52-85, kom. 603 74 22 94"," Ryszard  Raczkiewicz","11:30,","Cz. 17:00,; ","","53.9006,15.28467","http://szczecin.kuria.pl/wspolnoty/koscioly/Rotnowo-Kosciol-filialny-pw-Matki-Bozej-Czestochowskiej_297","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w12_r21.jpg"
"Rybokarty Kościół filialny","","Rybokarty","ul. 3 Maja 17, 72-300 Gryfice","www.gryficeparafiawnmp.pl","","91/384-24-13"," Kazimierz  Półtorak","11:30,","","","53.91366,15.08100","http://szczecin.kuria.pl/wspolnoty/koscioly/Rybokarty-Kosciol-filialny-_280","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g12_r55.jpg"
"Kaplica","","Rzęsin","ul. 3 Maja 17, 72-300 Gryfice","www.gryficeparafiawnmp.pl","","91/384-24-13"," Kazimierz  Półtorak","14:00,","","","53.88890,15.12285","http://szczecin.kuria.pl/wspolnoty/koscioly/Rzesin-Kaplica-_282","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/IMG_5843.jpg"
"Kościół parafialny pw MB Częstochowskiej","","Świeszewo","ul. Świeszewo 18, 72-300 GRYFICE","","","91/384-14-57"," Mariusz  Szymczak","13:00,","Pn. 17:00,; Wt. 17:00,; So. 09:00,; ","","53.86847,15.07679","http://szczecin.kuria.pl/wspolnoty/koscioly/Swieszewo-Kosciol-parafialny-pw-MB-Czestochowskiej_289","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/s20_31.jpg"
"Tąpadły Kościół filialny","","Tąpadły","ul. Parkowa 6, 72-304 BROJCE GRYF.","","","91/386-11-15"," Mirosław  Czerwiński","10:00,","","","53.92873,15.32840","http://szczecin.kuria.pl/wspolnoty/koscioly/Tapadly-Kosciol-filialny-_269","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/108x75_wymuszony/b12_45.jpg"
"Truskolas Kościół filialny","","Truskolas","ul. Mechowo 34, 72-310 PŁOTY","","","91/385-15-37"," Krzysztof  Sebastianów","","Wt. 17:00, z Wytokiem na przemian; So. 18:00, (16:00, zimą) lit niedzielna; ","","53.81524,15.12340","http://szczecin.kuria.pl/wspolnoty/koscioly/Truskolas-Kosciol-filialny-_288","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m04_t07.jpg"
"Trzygłów Kościół filialny","","Trzygłów","ul. Świeszewo 18, 72-300 GRYFICE","","","91/384-14-57"," Mariusz  Szymczak","8:30,, 10:00,","Śr. 17:00,; Pt. 17:00,; ","","53.86055,15.16423","http://szczecin.kuria.pl/wspolnoty/koscioly/Trzyglow-Kosciol-filialny-_290","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/s20_t28.jpg"
"Kościół parafialny pw ŚW. JÓZEFA ROBOTNIKA","","Wicimice","ul. Wicimice 28, 72-310 PŁOTY","","rokomar@poczta.fm","91/386-51-60, kom. 506081522"," Marek  Rokosz","8:30,, 11:30,","Śr. 18:00,; Pt. 18:00,; So. 18:00,; ","","53.87938,15.39317","http://szczecin.kuria.pl/wspolnoty/koscioly/Wicimice-Kosciol-parafialny-pw-SW-JOZEFA-ROBOTNIKA_292","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w06_19.jpg"
"Kościół parafialny pw św. Stanisława Kostki","","Wyszobór","ul. Wyszobór 14 A, 72-310 PŁOTY","www.parafiawyszobor.com","","91/386-52-85, kom. 603 74 22 94"," Ryszard  Raczkiewicz","8:30,, 13:00,","Pn. 9:00,; Śr. 17:00,, 19:00, (lipiec-sierpień); Cz. 9:00,; Pt. 17:00,, 19:00, (lipiec-sierpień); So. 17:00,; ","","53.88619,15.32134","http://szczecin.kuria.pl/wspolnoty/koscioly/Wyszobor-Kosciol-parafialny-pw-sw-Stanislawa-Kostki_295","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/20141106_123352.jpg"
"Wytok Kościół filialny","","Wytok","ul. Mechowo 34, 72-310 PŁOTY","","","91/385-15-37"," Krzysztof  Sebastianów","11:00,","Wt. 17:0 z Truskolasem na przemian; ","","53.83271,15.12500","http://szczecin.kuria.pl/wspolnoty/koscioly/Wytok-Kosciol-filialny-_287","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/m04_w16.jpg"
"Bartkowo Kościół filialny","","Bartkowo","ul. Kościelna 9, 74-100 GRYFINO","","","91/404-16-14"," Piotr  Kozieł","09:00,","So. 17:00,; ","","53.20913,14.54274","http://szczecin.kuria.pl/wspolnoty/koscioly/Bartkowo-Kosciol-filialny-_299","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/c8_ba35.jpg"
"Kościół parafialny pw Świętej Trójcy","","Chwarstnica","ul. Kościelna 9, 74-100 GRYFINO","","","91/404-16-14"," Piotr  Kozieł","11:00,","17:00,","","53.22181,14.61058","http://szczecin.kuria.pl/wspolnoty/koscioly/Chwarstnica-Kosciol-parafialny-pw-Swietej-Trojcy_298","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/c08_47.jpg"
"Czepino Kościół filialny pw Matki Bożej Fatimskiej","","Czepino","ul. Szkolna 17a, 74-100 Gryfino","www.parafia.zabnica","bogur@vp.pl","91/416-02-30, kom. 603762818"," Bogusław  Gurgul","10:30, ( w maju NAbożeństwa Majowe o godz.17.oo prz kapliczce)","Cz. 18:00, (17:00, zimą); ","","53.28467,14.51527","http://szczecin.kuria.pl/wspolnoty/koscioly/Czepino-Kosciol-filialny-pw-Matki-Bozej-Fatimskiej_320","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/zz05_c28.jpg"
"Dębogóra Kościół filialny","","Dębogóra","ul. Mostowa 6, 74-120 WIDUCHOWA","","tadeuszkraj1407@o2.pl","91/416-72-22, kom. 506 896 646, fax. 91/416-72-22"," Tadeusz  Krajewski","11:15,","Cz. 17:00,; ","","53.15601,14.43626","http://szczecin.kuria.pl/wspolnoty/koscioly/Debogora-Kosciol-filialny-_319","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/w07_d41.jpg"
"Dołgie Kościół filialny","","Dołgie","ul. Kościelna 9, 74-100 GRYFINO","","","91/404-16-14"," Piotr  Kozieł","09:00,","Cz. 17:00,; ","","53.17560,14.65640","http://szczecin.kuria.pl/wspolnoty/koscioly/Dolgie-Kosciol-filialny-_302","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/c8_d32.jpg"
"Kaplica","","DPS Nowe Czarnowo","ul. Gryfińska 24 d, 74-105 Nowe Czarnowo","","","91/416-15-11"," Józef  Dudek","","So. 16:00,; ","","53.19560,14.49160","http://szczecin.kuria.pl/wspolnoty/koscioly/DPS-Nowe-Czarnowo-Kaplica-_313","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/108x75_wymuszony/p18_22.jpg"
"Kościół parafialny pw Najśw. Serca Pana Jezusa","","Gardno","ul. Żelisławiecka 16, 74-100 Gryfino","","dsl289650@orange.pl","91/404-12-38"," Tadeusz  Lipiński","08:30, 11:00,","Śr. 17:00,; Cz. 17:00,; Pt. 17:00,; ","","53.26027,14.61895","http://szczecin.kuria.pl/wspolnoty/koscioly/Gardno-Kosciol-parafialny-pw-Najsw-Serca-Pana-Jezusa_304","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g01_51.jpg"
"Kościół parafialny pw Narodzenia NMP","","Gryfino","ul. Kościelna 31, 74-100 GRYFINO","www.parafia.nar.gryfino.ehost.pl","parafia.nar.gryfino@wp.pl","91/416-23-70"," Stanisław  Helak","7:00,, 8,30,, 10,00,; 11:30,, 13:00,, 18:00,, 16:30,(1xmc w roku szkolnym)","6:30,, 9:00,, 18:00,","","53.25312,14.48773","http://szczecin.kuria.pl/wspolnoty/koscioly/Gryfino-Kosciol-parafialny-pw-Narodzenia-NMP_308","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g13_079.jpg"
"Kościół parafialny pw Niep. Serca Maryi","","Gryfino","ul. Krasińskiego 82, 74-101 GRYFINO","www.nsm-gryfino.pl","","91/416-10-62"," Henryk  Krzyżewski","7:00,, 8:30,, 10:00,, 11:30,, 13:00,, 16:30,, 18:00,","7:00,, 9:00,, 18:00,","","53.25524,14.50204","http://szczecin.kuria.pl/wspolnoty/koscioly/Gryfino-Kosciol-parafialny-pw-Niep-Serca-Maryi_309","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g17_068.jpg"
